,Név,Típus,Megye,Kistérség,Nép.,Irsz.
0,Aba,város,Fejér,Abai,4574,8127
1,Abádszalók,város,Jász-Nagykun-Szolnok,Tiszafüredi,4677,5241
2,Abaliget,község,Baranya,Pécsi,637,7678
3,Abasár,község,Heves,Gyöngyösi,2665,3261
4,Abaújalpár,község,Borsod-Abaúj-Zemplén,Encsi,96,3882
5,Abaújkér,község,Borsod-Abaúj-Zemplén,Encsi,677,3882
6,Abaújlak,község,Borsod-Abaúj-Zemplén,Szikszói,113,3815
7,Abaújszántó,város,Borsod-Abaúj-Zemplén,Abaúj–Hegyközi,3407,3881
8,Abaújszolnok,község,Borsod-Abaúj-Zemplén,Szikszói,157,3809
9,Abaújvár,község,Borsod-Abaúj-Zemplén,Abaúj–Hegyközi,330,3898
10,Abda,község,Győr-Moson-Sopron,Győri,3061,9151
11,Abod,község,Borsod-Abaúj-Zemplén,Edelényi,285,3753
12,Abony,város,Pest,Ceglédi,15814,2740
13,Ábrahámhegy,község,Veszprém,Tapolcai,501,8256
14,Ács,város,Komárom-Esztergom,Komáromi,7255,2941
15,Acsa,község,Pest,Váci,1571,2683
16,Acsád,község,Vas,Szombathelyi,661,9746
17,Acsalag,község,Győr-Moson-Sopron,Csornai,482,9168
18,Ácsteszér,község,Komárom-Esztergom,Kisbéri,768,2887
19,Adács,község,Heves,Gyöngyösi,3794,3292
20,Ádánd,község,Somogy,Siófoki,2416,8653
21,Adásztevel,község,Veszprém,Pápai,874,8561
22,Adony,város,Fejér,Adonyi,3839,2457
23,Adorjánháza,község,Veszprém,Ajkai,471,8497
24,Adorjás,község,Baranya,Sellyei,188,7841
25,Ág,község,Baranya,Sásdi,206,7381
26,Ágasegyháza,község,Bács-Kiskun,Kecskeméti,1933,6076
27,Ágfalva,község,Győr-Moson-Sopron,Sopron–Fertődi,1951,9423
28,Aggtelek,község,Borsod-Abaúj-Zemplén,Kazincbarcikai,628,3759
29,Agyagosszergény,község,Győr-Moson-Sopron,Kapuvári,938,9441
30,Ajak,város,Szabolcs-Szatmár-Bereg,Kisvárdai,3952,4524
31,Ajka,város,Veszprém,Ajkai,31649,8400
32,Aka,község,Komárom-Esztergom,Kisbéri,291,2862
33,Akasztó,község,Bács-Kiskun,Kiskőrösi,3483,6221
34,Alacska,község,Borsod-Abaúj-Zemplén,Miskolci,877,3779
35,Alap,község,Fejér,Sárbogárdi,2143,7011
36,Alattyán,község,Jász-Nagykun-Szolnok,Jászberényi,2035,5142
37,Albertirsa,város,Pest,Ceglédi,11615,2730
38,Alcsútdoboz,község,Fejér,Bicskei,1504,8087
39,Aldebrő,község,Heves,Füzesabonyi,2178,3353
40,Algyő,nagyközség,Csongrád,Szegedi,5326,6750
41,Alibánfa,község,Zala,Zalaegerszegi,480,8921
42,Almamellék,község,Baranya,Szigetvári,496,7934
43,Almásfüzitő,község,Komárom-Esztergom,Komáromi,2369,2931
44,Almásháza,község,Zala,Zalaszentgróti,57,8935
45,Almáskamarás,község,Békés,Mezőkovácsházi,989,5747
46,Almáskeresztúr,község,Baranya,Szigetvári,87,7932
47,Álmosd,község,Hajdú-Bihar,Derecske–Létavértesi,1673,4285
48,Alsóberecki,község,Borsod-Abaúj-Zemplén,Bodrogközi,861,3985
49,Alsóbogát,község,Somogy,Kaposvári,300,7443
50,Alsódobsza,község,Borsod-Abaúj-Zemplén,Szerencsi,393,3717
51,Alsógagy,község,Borsod-Abaúj-Zemplén,Encsi,108,3837
52,Alsómocsolád,község,Baranya,Sásdi,331,7345
53,Alsónána,község,Tolna,Szekszárdi,728,7147
54,Alsónémedi,nagyközség,Pest,Gyáli,4783,2351
55,Alsónemesapáti,község,Zala,Zalaegerszegi,751,8924
56,Alsónyék,község,Tolna,Szekszárdi,821,7148
57,Alsóörs,község,Veszprém,Balatonalmádi,1335,8226
58,Alsópáhok,község,Zala,Keszthely–Hévízi,1254,8394
59,Alsópetény,község,Nógrád,Rétsági,752,2617
60,Alsórajk,község,Zala,Nagykanizsai,416,8767
